CodProd,Desc. Prod.,CodBarra
1001038,POTE SORTIDO 350G,7896986216152
1001039,POTE ZERO ACUCAR 216G,7896986216169
1001045,CX BBS ART 153 DELICIAS AMOR,7896986216251
1001046,SINTONIA BATIDADES DO COR 140G,7896986216138
1001053,CX AMO MAIS QUE CHOCOLATE 115G,7896986216268
1001055,ANGEL ASAS 200G,7896986216275
1001057,CX BBS CORACAO NAMORADOS 112,7896986216213
1001059,CX GLAMOUR SOBREM 270G,7896986216299
1001060,LATA GOURMET ROSE 200G,7896986216237
1001064,KIT SEXY 130G,7896986216220
1001065,MINI DELICIAS GOURMET 175G,7896986216244
1001066,JOGO DA SEDUCAO ROL 2016 155G,7896986216374
1001067,CACAU BAR CAIPIRINHAS 210G,7896986216282
1001068,FLORES E FRUTAS CADER 2016 150G,7896986216367
1001088,DOCE GESTO MENSAGENS 200G,7896986217173
1001114,BENDITO CACAO SORTIDO 150G,7896986219092
1001115,CAIXA VC E SHOW PAIS 145G,7896986219108
1001116,CACAU BAR KARAVELLE SORTIDO 210G,7896986219115
1001117,CX TABASCO PAIS 2016 250G,7896986219122
1001118,FONDUE COLLECTION 355G,7896986219047
1001119,SINTONIA SAO JOAO 2016 140G,7896986219054
1001132,LEITEIRA LACREME 175G,7896986214424
1001148,MARSHMALLOW CHOCOMONSTROS 100G,7896986219450
1001149,TAB CHOCOBICHOS DE ESTIMAC 100G,7896986219467
1001156,CORACAO GOURMET ROSE 165G,7896986219511
1001164,CX GOURMET ROSE 200G,7896986255052
1001170,BELLAS CRIANCAS 110G,7896986219580
1001171,CHOCOBICHOS QUEBRA-CABECA 160G,7896986219542
1001183,LATA CORACAO 52G,7896986239113
1001186,TAB CHOCOBICHOS 100G,7896986221286
1001187,INTENSIDADE PREMIUM PAIS 350G,7896986220210
1001202,SABORES DE VERAO 120G,7896986220500
1001264,CX CACAU ESPRESSO 140G,7896986221453
1001283,LATA CAPRICHO,7896986221835
1001284,CAIXA COLLECTION 435G,7896986221859
1001287,ALMOFADAS CHOCOBICHOS,7896986221880
1001288,PELUCIA VAQUINHA LACREME,7896986221903
1001289,FONE DE OUVIDO MULHER MARAV,7896986221897
1001290,FONES DE OUVIDO BYTES SORTIDOS,7896986221910
1001291,PORTA JOIAS BELLAS,7896986221927
1001292,BOLSA BELLAS,7896986221866
1001293,PESCOCEIRAS CHOCOBICHOS,7896986221934
1001294,CAIXA MIAU 170G,7896986221989
1001295,CAIXA GLAMOUR 180G,7896986221972
1001298,POTE LACREME 200,7896986221965
1001330,CX PERSON 6BB,7896986222887
1001394,POTE CLASSICOS SORTIDO 240G,7896986223563
1001413,MAKE CAPRICHO COM BOMBOM 200G,7896986224522
1001427,LIVRO EDICAO TRUFAS 210G,7896986224621
1001428,CX CHOCOBICHOS 80G,7896986224607
1001429,CX BELLAS ADESIVO 75G,7896986224584
1001430,CHOCOMONSTROS COM SQUEEZE 135G,7896986224614
1001431,BELLAS COM DIARIO SECRETO 100G,7896986224591
1001432,CX CHOCOMONSTROS ADESIVO 75G,7896986224652
1001445,CX BBS GOURMET 200 SORTIDO,7896986201929
1001446,CX LACREME TRUFAS BRANCO 225G,7896986224881
1001471,BOMBONS CHOC 162 PORTA JOIAS,7896986289576
1001472,CX CLASSICOS GF SORTIDO 160G,7896986264504
1001473,CX PRECIOSIDADES TRUFA 350G,7896986226816
1001474,CX 360 CLASSICOS PRECIOSIDADES SORT,7896986225444
1001476,CX CLASSICOS GF CEREJA 155G,7896986225581
1001477,COMBO EU TE AMO,7896986225727
1001478,CESTA EU TE AMO,7896986225734
1001549,CX BENDITO CACAO TABLETES 150G,7896986226922
1001558,CX COLLECTION 385G,7896986229633
1001560,CX GRANCHERIE 170G,7896986229077
1001561,CX LANUT 162G,7896986229688
1001562,CX BBS ANGEL 225 PORTA-JOIAS,7896986229596
1001565,LATA CORACAO GOURMET 165G,7896986227097
1001566,CORACAO MAES 52G,7896986227073
1001571,KIT SENTIDOS MASSAGENS,7896986229657
1001572,KIT PROVOQUE COM VENDA 100G,7896986229664
1001573,KIT OUSE COM ALGEMA 100G,7896986229640
1001601,CX CLASSICOS SORTIDO 120GR,7896986264368
1001624,CUBO PAIS 145G,7896986229954
1001669,ORACULO CAPRICHO 60G,7896986231063
1001675,CX BC TRUFAS E TABLETES 240G,7896986231285
1001678,CX BBS CS 160 SORTIDO,7896986232985
1001680,CX BBS CS 300 SORTIDO,7896986231407
1001688,CX BBS CS 95 SORTIDO,7896986231391
1001769,KIT TABUA E MARTELO BRIGADERIA,7896986233623
1001771,KIT CARNAVAL CACAUFOLIA 80G,7896986233791
1001779,CX CACAU BAR TRUFAS 245G,7896986234538
1001794,KIT 2 LATAS BRIGADERIA,7896986236785
1001816,CX BBS ANGEL 420 COLECAO SORTIDO,7896986237737
